Ano,Data do acidente,País do acidente,Modelo da aeronave,Número de mortos
1919,2 de agosto de 1919,Italy,Caproni Ca. 48,13.5
1920,14 de dezembro,England,Handley Page Type O-400,4.0
1922,7 de abril de 1922,France,Havilland DH.18A,7.0
1923,14 de maio de 1923,France,Farman F.60 Goliath,6.0
1923,27 de agosto de 1923,England,Farman F.60 Goliath,1.0
1923,16 de junho de 1923,Brazil,Junkers D-218,2.0
1924,24 de dezembro de 1924,England,Havilland DH.34,8.0
1926,18 de agosto de 1926,England,Blériot 155,3.0
1926,2 de outubro de 1926,England,Blériot 155,7.0
1927,22 de agosto de 1927,England,Fokker F.VIII,1.0
1927,15 de Novembro de 1927,,Junkers F.13,
1928,13 de Julho de 1928,England,Vickers Vulcan,6.0
1928,3 de dezembro de 1928,Brazil,Dornier Do J,1.0
1930,5 de outubro de 1930,France,R101,48.0
1930,7 de novembro de 1930,Brazil,Junkers Junkers G 24,1.0
1931,21 de março de 1931,Australia,Avro 618 Ten,8.0
1931,31 de março de 1931,USA,Fokker F.10,8.0
1932,25 de setembro de 1932,Brazil,Sikorsky S-38,0.0
1933,28 de março de 1933,Belgium,Armstrong Whitworth Argosy,15.0
1933,10 de Outubro de 1933,USA,Boeing 247,7.0
1933,30 de dezembro de 1933,Belgium,Avro 618 Ten,10.0
1934,9 de maio de 1934,English Channel,Wibault 282T,6.0
1934,27 de julho de 1934,Germany,Curtiss T-32 Condor II,11.0
1934,2 de outubro de 1934,English Channel,de Havilland Dragon Rapide,7.0
1934,19 de outubro de 1934,Australia,de Havilland Express DH 86,11.0
1935,24 de junho de 1935,Colombia,Ford Trimotor,17.0
1937,12 de janeiro de 1937,USA,Boeing 247,5.0
1937,7 de Maio de 1937,Germany,Hindenburg,36.0
1937,16 de Novembro de 1937,Belgium,Junkers Ju 52,12.0
1938,10 de janeiro de 1938,USA,Lockheed Model 14 Super Electra,10.0
1938,24 de julho de 1938,Santa Ana,Curtiss F11C Goshawk,62.0
1938,15 de agosto de 1938,Brazil,Junkers Ju 52,9.0
1938,25 de outubro de 1938,Australia,Douglas DC-2,18.0
1939,13 de janeiro de 1939,USA,Lockheed Model 14 Super Electra,4.0
1939,13 de janeiro de 1939,Brazil,Junkers Ju 52,9.0
1939,13 de agosto de 1939,Brazil,Sikorsky S-43,14.0
1940,14 de junho de 1940,Finland,Junkers Ju 52,9.0
1940,31 de agosto de 1940,USA,Douglas DC-3,25.0
1940,8 de novembro de 1940,Brazil,Junkers Ju 52,0.0
1941,26 de fevereiro de 1941,USA,Douglas DC-3,16.0
1942,16 de janeiro de 1942,USA,TWA,22.0
1943,9 de janeiro de 1943,Portugal,Short S.26,13.0
1943,21 de janeiro de 1943,USA,Philippine Clipper,19.0
1943,22 de fevereiro de 1943,Portugal,Boeing 314,24.0
1943,1 de junho de 1943,Spain,BOAC,17.0
1943,4 de julho de 1943,Gibraltar,Avião,1.0
1943,27 de agosto de 1943,Brazil,Junkers Ju 52,15.0
1943,28 de julho de 1943,,Douglas DC-3,20.0
1944,10 de fevereiro de 1944,USA,Douglas DC-2,24.0
1946,17 de julho de 1946,Spain,Curtiss C-46 Commando,30.0
1946,3 de outubro de 1946,USA,Douglas C-54,39.0
1946,27 de setembro de 1946,Brazil,Douglas DC-3,25.0
1946,23 de dezembro de 1946,Brazil,Avro York,20.0
1947,1 de fevereiro de 1947,Portugal,Douglas C-47,16.0
1947,15 de fevereiro de 1947,Colombia,Douglas DC-4,53.0
1947,12 de agosto de 1947,Andes Mountains,Avro Lancastrian,13.0
1947,28 de agosto de 1947,Norway,Short Sandringham,35.0
1947,24 de outubro de 1947,USA,United Airlines,52.0
