Ano,Data do acidente,País do acidente,Modelo da aeronave,Número de mortos
1959,23 de setembro de 1959,São Paulo,SAAB Scandia,20.0
1959,22 de dezembro de 1959,Rio de Janeiro,Vickers Viscount 827,38.0
1960,25 de fevereiro de 1960,Rio de Janeiro,DC-3,3.0
1960,24 de junho de 1960,Rio de Janeiro,Convair 340,54.0
1961,15 de Fevereiro,Bélgica,Boeing 707,73
1961,30 de maio,Portugal,Douglas DC-8,61
1961,19 de julho,Argentina,Douglas DC-6,67
1961,1 de novembro,Brasil,Douglas DC-7C,45
1961,23 de Novembro,Brasil,Comet 4,52
1962,3 de junho,França,Boeing 707,130
1962,20 de Agosto,Brasil,DC-8,15
1962,26 de novembro,Brasil,SAAB Scandia e Cessna 310,26
1962,27 de novembro,Peru,Boeing 707,97
1962,14 de Dezembro,Brasil,Lockheed Constellation,50
1963,3 de maio,Brasil,Convair 340,37
1963,3 de junho,Estados Unidos,DC-7,101
1963,27 de julho,Índia,Comet IV,61
1963,4 de setembro,Suíça,Sud Aviation Caravelle,80
1963,29 de novembro,Canadá,DC-8,118
1963,8 de dezembro,Estados Unidos,Boeing 707,81
1964,29 de fevereiro,Áustria,Bristol Britannia,83
1964,7 de maio,Estados Unidos,Lockheed L-188 Electra,44
1964,4 de setembro,Brasil,Viscount,39
1966,15 de janeiro,Colômbia,Douglas C-54 Skymaster,56
1966,24 de janeiro,França,Boeing 707,114
1967,5 de março,Libéria,Douglas DC-8,56
1967,18 de julho,Brasil,Piper Aztec e Lockheed T-33,5
1970,4 de fevereiro,Argentina,Avro 748,37
1970,14 de Março,Brasil,,37
1970,3 de julho,Espanha,de Havilland Comet,112
1971,06 de Junho,Estados Unidos,Douglas DC-9-31 e F-4 Phantom II,49
1972,14 de junho,Índia,,
1972,13 de Outubro,Cordilheira dos Andes,,29
1972,29 de Dezembro,Estados Unidos,Lockheed L-1011,99
1973,1 de Junho,Brasil,Sud Aviation Caravelle,23
1973,5 de março,Portugal,SE-210 Caravelle 10R,3
1973,3 de junho,França,Tupolev Tu-144,14
1973,11 de Julho,França,Boeing 707,122
1974,3 de março,França,DC10,346
1974,4 de dezembro,Sri Lanka,Douglas DC-8,191
1975,4 de abril,Vietnã,C5-A Galaxy,155
1975,17 de junho,Brasil,Avro hs-748,4
1975,3 de agosto,Marrocos,Boeing 707,188
1976,10 de setembro,Sérvia,DC9 e Trident,176
1976,19 de setembro,Turquia,Boeing 727,154
1977,27 de Março,Espanha,Boeing 747,583
1977,20 de Outubro,Estados Unidos,,
1977,19 de Novembro,Portugal,Boeing 727,131
1977,21 de novembro,Argentina,BAC 1-11,46
1977,2 de dezembro,Líbia,Tupolev 154,59
1977,4 de dezembro,Malásia,Boeing 737,100
1977,18 de Dezembro,Portugal,SE-210 Caravelle 10R,36
1977,29 de dezembro,Equador,Vickers Viscount,24
1978,1° de janeiro,Emirados Árabes Unidos,Boeing 747-237B,213
1978,20 de Abril,Rússia,Boeing 707,2
1978,20 de Agosto,Brasil,Boeing 727-200,0
1978,25 de Setembro,Estados Unidos,Boeing 727-214 e Cessna 172,144
1979,30 de Janeiro,Oceano Pacífico,Boeing 707-323C,6
1979,8 de fevereiro,Brasil,Embraer EMB-110 Bandeirante,18
1979,25 de Maio,Estados Unidos,DC-10,273
1979,26 de Julho,Brasil,Boeing 707,3
1979,28 de Novembro,Antártida,DC-10,257
1980,14 de março,Polônia,Ilyushin Il-62,87
1980,12 de Abril,Brasil,Boeing 727,55
1980,25 de abril,Espanha,Boeing 727,144
1980,27 de junho,Itália,Douglas DC-9,81
1980,4 de dezembro,Portugal,,7
1982,9 de fevereiro,Japão,Boeing 727,24
1982,24 de maio,Brasil,Boeing 737-2A1,2
1982,8 de junho,Brasil,Boeing 727-200,137
1982,24 de junho,Indonésia,Boeing 747-263B,0
1983,23 de julho,Canadá,Boeing 767-200,0
1983,1 de Setembro,Rússia,Boeing 747,269
1984,18 de abril,Brasil,Embraer EMB-110 Bandeirante,18
1984,28 de junho,Brasil,Embraer EMB-110 Bandeirante,18
1984,20 de dezembro,Brasil,,
1985,23 de junho,Oceano Atlântico,Boeing 747,329
1985,2 de agosto,Estados Unidos,Lockheed L-1011,137
1985,12 de agosto,Japão,Boeing 747,520
1985,22 de agosto,Inglaterra,Boeing 737-200,55
1986,31 de agosto,Estados Unidos,Douglas DC-9 e Piper PA-28-181 Archer,82
1986,19 de outubro,África do Sul,Tupolev 134 A,34
1987,3 de janeiro,Costa do Marfim,Boeing 707,50
1987,9 de maio,Polônia,Ilyushin Il-62M,183
1987,28 de novembro,Oceano Índico,Boeing 747,159
1987,7 de dezembro,Estados Unidos,Lockheed BAe 146-200,43
1987,8 de dezembro,Peru,Fokker F27,43
